/workspace/out/code/MIX_Symptom/checkpoints/model/20200430-1-120-R/net_10_0.pth
/workspace/out/code/MIX_Symptom/checkpoints/model/202004301-120-R/net_10_0.pth
(21536, 16)
sample - ['面黄身倦', '皮', '面黄'] 1 1 1
sample - ['嗳气后痞满觉舒', '运化', '嗳气'] 1 1 1
sample - ['胃中时有嘈杂感', '运化', '嘈杂'] 1 1 1
sample - ['时有胸闷痛', '胸', '胸闷'] 1 1 1
sample - ['伴烦躁', '情绪', '烦躁'] 1 1 1
sample - ['口干苦粘', '口', '口干'] 1 1 1
sample - ['心易烦躁', '情绪', '烦躁'] 1 1 1
sample - ['心慌烦躁', '胸', '心慌'] 1 1 1
sample - ['微咳', '呼吸', '咳'] 1 1 1
sample - ['多唾食少', '运化', '食少'] 1 1 1
sample - ['脉沉', '脉', '脉沉'] 1 1 1
sample - ['尿道口痒', '皮', '痒'] 12 12 1
sample - ['胃中胀满不适', '腹', '胃中胀满'] 1 1 1
sample - ['胸膈坚满', '胸', '胸膈满'] 1 1 1
sample - ['眼睑和双下肢浮肿', '皮', '双下肢浮肿'] 7 7 7
sample - ['双背肩痛', '肉', '背肩痛'] 1 1 1
sample - ['喘哮痰鸣', '咽喉', '痰鸣'] 2 2 2
sample - ['运动后脚肿', '皮', '脚肿'] 3 3 1
sample - ['瘙痒大便干', '运化', '大便干'] 11 11 6
sample - ['口渴腹痛', '腹', '腹痛'] 2 2 1
sample - ['胃痛食少', '运化', '食少'] 1 1 1
sample - ['夜间恶心', '运化', '恶心'] 1 1 1
sample - ['经前烦躁', '情绪', '烦躁'] 1 1 1
sample - ['体虚乏力', '肉', '乏力'] 1 1 1
sample - ['大便粘腻', '运化', '大便粘'] 1 1 1
sample - ['大汗及恶心', '皮', '大汗'] 1 1 1
sample - ['胃脘痛隐痛', '腹', '胃脘痛'] 6 6 5
sample - ['按之腹痛稍减', '腹', '腹痛'] 1 1 1
sample - ['剑突至脐上痛甚', '腹', '脐上痛'] 1 1 1
sample - ['小儿四肢肿满', '皮', '四肢肿满'] 2 2 2
sample - ['咳不止', '呼吸', '咳'] 1 1 1
sample - ['夜睡不安', '神志', '夜睡不安'] 1 1 1
sample - ['多梦头重', '头', '头重'] 2 2 1
sample - ['手足心轻微发热', '皮', '发热'] 5 5 5
sample - ['目前仍咽痛', '咽喉', '咽痛'] 2 2 1
sample - ['微有恶寒', '皮', '恶寒'] 1 1 1
sample - ['胃饱胀感', '腹', '胃饱胀'] 1 1 1
sample - ['易惊善忘', '情绪', '易惊'] 1 1 1
sample - ['体胖', '肉', '体胖'] 1 1 1
sample - ['身热骨酸', '肉', '骨酸'] 2 2 1
sample - ['四肢皮肤出现大量出血点', '皮', '四肢'] 17 17 17
sample - ['咳吐暗红色痰', '呼吸', '咳'] 2 2 1
sample - ['倦怠腹胀', '肉', '倦怠'] 2 2 1
sample - ['头痛时左手麻木', '头', '头痛'] 3 3 1
sample - ['腹痛明显', '腹', '腹痛'] 1 1 1
sample - ['热退时有汗', '皮', '汗'] 6 6 6
sample - ['喉中哮鸣', '咽喉', '喉中哮鸣'] 1 1 1
sample - ['午后神疲', '神志', '神疲'] 1 1 1
sample - ['白带量多色白质清稀', '泌尿生殖', '白带'] 3 3 3
sample - ['平时怕冷', '皮', '怕冷'] 1 1 1
sample - ['右侧上下肢乏力', '肉', '乏力'] 1 1 1
sample - ['两脚筋挛', '筋', '筋挛'] 1 1 1
sample - ['中风口噤不能言', '口', '口噤'] 1 1 1
sample - ['胸脘闷塞', '腹', '脘闷塞'] 1 1 1
sample - ['多梦大便干溏不调小便黄', '神志', '多梦'] 2 2 1
sample - ['巩膜皮肤发黄', '目', '巩膜皮肤发黄'] 1 1 1
sample - ['左上肢不能活动', '肉', '不能活动'] 23 23 23
sample - ['尿黄', '泌尿生殖', '尿黄'] 1 1 1
sample - ['体重头痛', '头', '头痛'] 1 1 1
sample - ['耳鸣腰痛', '腰', '腰痛'] 1 1 1
sample - ['鼻塞涕多', '鼻', '鼻塞'] 1 1 1
sample - ['眠梦多大便干', '神志', '梦多'] 1 1 1
sample - ['尿白如米泔', '泌尿生殖', '尿白'] 1 1 1
sample - ['时有咽痛', '咽喉', '咽痛'] 1 1 1
sample - ['腰酸形寒', '腰', '腰酸'] 1 1 1
sample - ['神情烦躁', '情绪', '烦躁'] 1 1 1
sample - ['抽筋手足疼', '筋', '抽筋'] 1 1 1
sample - ['恶心头晕', '运化', '恶心'] 1 1 1
sample - ['周身觉冷', '皮', '冷'] 7 7 7
sample - ['久站腰酸隐痛', '腰', '腰酸'] 1 1 1
sample - ['肩背麻木', '皮', '肩背麻木'] 3 3 3
sample - ['溲少便结', '运化', '便结'] 2 2 1
sample - ['右胁下疼痛', '胁', '右胁下疼痛'] 1 1 1
sample - ['颊赤口渴', '皮', '颊赤'] 1 1 1
sample - ['双下肢酸软无力', '肉', '无力'] 3 3 3
sample - ['双侧下腹隐痛', '腹', '下腹隐痛'] 7 7 6
sample - ['感冒后感头昏重', '头', '头昏'] 1 1 1
sample - ['遍身肿满', '皮', '遍身肿满'] 3 3 3
sample - ['鼻塞头痛', '鼻', '鼻塞'] 1 1 1
sample - ['目瞪唇青', '口', '唇青'] 1 1 1
sample - ['牙关不能开', '口', '牙关不开'] 1 1 1
sample - ['小便闭结', '泌尿生殖', '小便闭结'] 1 1 1
sample - ['头胀痛（枕后疼痛）', '头', '头胀'] 1 1 1
sample - ['双下肢水肿伴头晕', '头', '头晕'] 4 4 1
sample - ['夜不安眠', '神志', '夜眠不安'] 8 8 8
sample - ['低热咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['外阴潮湿瘙痒腰膝痠软', '皮', '瘙痒'] 12 12 1
sample - ['胸闷背胀', '胸', '胸闷'] 1 1 1
sample - ['双下肢发凉疼痛', '皮', '发凉'] 1 1 1
sample - ['双眼畏光', '目', '畏光'] 1 1 1
sample - ['发咳呕涎', '运化', '呕吐涎'] 7 7 6
sample - ['心慌等症', '胸', '心慌'] 1 1 1
sample - ['令人四肢挛急', '筋', '四肢挛急'] 6 6 1
sample - ['呃逆频作', '运化', '呃逆'] 1 1 1
sample - ['斑片状出现下肢浮肿刻下腰膝酸软', '皮', '下肢浮肿'] 7 7 7
sample - ['足胫寒冷', '皮', '足胫寒'] 22 22 15
sample - ['小便短赤(曾有过瘀黑色大便)', '泌尿生殖', '小便短'] 13 13 3
sample - ['左侧肢体活动不灵', '肉', '左侧肢体活动不灵'] 1 1 1
sample - ['规则阴道流血', '生殖器', '阴道流血'] 1 1 1
sample - ['大便干秘', '运化', '大便干秘'] 25 25 24
sample - ['神软倦怠', '肉', '倦怠'] 1 1 1
sample - ['经行腰酸明显', '腰', '腰酸'] 1 1 1
sample - ['左髋关节疼痛', '骨', '左髋关节疼痛'] 1 1 1
sample - ['口干舌燥', '口', '口干'] 1 1 1
sample - ['小便失禁', '泌尿生殖', '小便失禁'] 2 2 1
sample - ['腹痛拒按而喜热敷', '腹', '腹痛'] 1 1 1
sample - ['颜面晄白', '皮', '颜面'] 1 1 1
sample - ['口干渴', '口', '口干渴'] 2 2 2
sample - ['小腿肿', '皮', '小腿肿'] 3 3 3
sample - ['左面部麻木', '皮', '左面部麻木'] 2 2 2
sample - ['肉食后感觉胃脘痞满不适', '腹', '胃脘痞满'] 12 12 10
sample - ['汗出很多', '皮', '汗出'] 1 1 1
sample - ['怕凉喜暖', '皮', '怕凉'] 1 1 1
sample - ['身目黄染', '目', '目黄染'] 2 2 2
sample - ['食少神疲', '神志', '神疲'] 2 2 1
sample - ['头痛时作', '头', '头痛'] 1 1 1
sample - ['下夜睡眠差', '神志', '睡眠差'] 1 1 1
sample - ['口渴喜热饮', '运化', '喜热饮'] 4 4 1
sample - ['胁下有痞', '胁', '胁痞'] 4 4 2
sample - ['面黄无泽', '皮', '面黄'] 1 1 1
sample - ['见肢体关节疼痛', '骨', '肢体关节疼痛'] 1 1 1
sample - ['腰脊痠痛', '腰', '腰脊痠'] 4 4 4
sample - ['手足发热', '皮', '手足发热'] 2 2 2
sample - ['头抽动', '筋', '抽动'] 1 1 1
sample - ['纳差寐差', '神志', '寐差'] 2 2 1
sample - ['目涩头晕', '头', '头晕'] 1 1 1
sample - ['爪甲稍青', '筋', '爪甲青'] 1 1 1
sample - ['恶风畏寒', '皮', '畏寒'] 3 3 3
sample - ['胸闷善太息', '胸', '胸闷'] 1 1 1
sample - ['肛门坠胀不适', '肛门', '肛门坠胀'] 1 1 1
sample - ['肋间疼痛', '胁', '肋间疼痛'] 1 1 1
sample - ['婚后6年未孕', '泌尿生殖', '未孕'] 1 1 1
sample - ['眼花目眩', '目', '目眩花'] 2 2 2
sample - ['右附件包块', '皮', '包块'] 1 1 1
sample - ['产后50天阴道流血不净', '生殖器', '阴道流血'] 1 1 1
sample - ['胃脘胀闷热灼', '腹', '胃脘胀'] 16 16 16
sample - ['腹中水响', '腹', '腹响'] 13 13 13
sample - ['口干不欲', '口', '口干'] 1 1 1
sample - ['偶有便血', '运化', '便血'] 1 1 1
sample - ['心烦乏气', '情绪', '心烦'] 1 1 1
sample - ['经行小腹坠胀冷痛', '腹', '小腹坠'] 1 1 1
sample - ['身倦无力', '肉', '身倦无力'] 2 2 2
sample - ['腹痛并有灼热感', '腹', '腹痛'] 1 1 1
sample - ['伴有脑鸣', '耳', '脑鸣'] 1 1 1
sample - ['排卵期少腹痛', '腹', '少腹痛'] 5 5 4
sample - ['心痛腹胀', '胸', '心痛'] 2 2 1
sample - ['右足末端麻木', '皮', '麻木'] 1 1 1
sample - ['轻度水肿', '皮', '水肿'] 1 1 1
sample - ['腹肋胀满', '腹', '腹满胀'] 11 11 9
sample - ['面赤口干渴欲饮', '皮', '面赤'] 2 2 1
sample - ['胁下气逆满闷', '胁', '胁满闷'] 14 14 7
sample - ['胸部刺痛', '胸', '胸部刺痛'] 2 2 2
sample - ['四肢酸痛', '皮', '四肢'] 2 2 1
sample - ['阴茎及阴囊上缩', '生殖器', '阴囊上缩'] 1 1 1
sample - ['量少伴腰痠腹痛', '腰', '腰痠'] 3 3 2
sample - ['有时泛酸', '运化', '泛酸'] 1 1 1
sample - ['睡醒后心慌', '胸', '心慌'] 1 1 1
sample - ['眠差盗汗', '神志', '眠差'] 1 1 1
sample - ['忧郁', '情绪', '忧郁'] 1 1 1
sample - ['心中卒痛', '胸', '心中痛'] 1 1 1
sample - ['饱塞于上脘', '腹', '脘塞'] 1 1 1
sample - ['右耳鸣响如风声', '耳', '右耳鸣响'] 2 2 2
sample - ['腹胀疼', '腹', '腹胀'] 1 1 1
sample - ['右胁灼热不适', '胁', '胁灼热'] 1 1 1
sample - ['腰疼背痛.', '腰', '腰疼'] 1 1 1
sample - ['时有大腿疼', '肉', '大腿疼'] 3 3 3
sample - ['胸闷乏力', '胸', '胸闷'] 1 1 1
sample - ['低热头昏痛', '头', '头昏'] 2 2 1
sample - ['胃腑作痛', '腹', '胃腑痛'] 1 1 1
sample - ['下腹隐痛感', '腹', '下腹隐痛'] 3 3 3
sample - ['自汗神倦', '皮', '自汗'] 1 1 1
sample - ['常腰酸', '腰', '腰酸'] 1 1 1
sample - ['肛门坠胀精神疲乏', '肛门', '肛门坠胀'] 1 1 1
sample - ['闭目露睛', '目', '闭目'] 1 1 1
sample - ['感冒后咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['眼颤', '目', '眼颤'] 1 1 1
sample - ['拘急', '筋', '拘急'] 1 1 1
sample - ['脱发明显', '皮', '脱发'] 1 1 1
sample - ['头晕发热', '皮', '发热'] 2 2 1
sample - ['故多惊恐', '情绪', '多惊恐'] 1 1 1
sample - ['汗出后可热退', '皮', '汗出'] 1 1 1
sample - ['口唇及指甲青紫', '筋', '指甲青紫'] 4 4 3
sample - ['现停经近58天', '泌尿生殖', '停经'] 1 1 1
sample - ['口苦溲黄', '口', '口苦'] 2 2 1
sample - ['粘液血便', '运化', '血便'] 2 2 2
sample - ['汗出较多', '皮', '汗出'] 1 1 1
sample - ['喷嚏时胁肋疼痛', '鼻', '喷嚏'] 1 1 1
sample - ['咽干燥作痛', '咽喉', '咽干燥'] 2 2 2
sample - ['腹部怕凉', '皮', '怕凉'] 1 1 1
sample - ['头疼脊强', '头', '头疼'] 1 1 1
sample - ['目睛干涩较甚', '目', '睛干涩'] 1 1 1
sample - ['头疼腰重', '腰', '腰重'] 2 2 1
sample - ['左半身乏力', '肉', '乏力'] 2 2 2
sample - ['每发则头晕', '头', '头晕'] 1 1 1
sample - ['口渴心烦', '情绪', '心烦'] 2 2 1
sample - ['腹胀纳少', '运化', '纳少'] 5 5 1
sample - ['手麻胀', '皮', '手麻'] 1 1 1
sample - ['咳灰色粘痰', '呼吸', '咳'] 1 1 1
sample - ['大便干小便黄', '运化', '大便干'] 3 3 2
sample - ['烦热不寐', '神志', '不寐'] 2 2 1
sample - ['咳嗽痰鸣', '咽喉', '痰鸣'] 6 6 2
sample - ['夜间心慌', '胸', '心慌'] 1 1 1
sample - ['气促胸闷', '胸', '胸闷'] 1 1 1
sample - ['有痰鸣音', '咽喉', '痰鸣'] 1 1 1
sample - ['发烧嘶哑', '皮', '发烧'] 1 1 1
sample - ['双下肢怕凉', '皮', '怕凉'] 1 1 1
sample - ['头痛身疼', '头', '头痛疼'] 5 5 2
sample - ['大便干结不调', '运化', '大便干结'] 2 2 2
sample - ['乏力皮肤黄染', '肉', '乏力'] 4 4 1
sample - ['双手颤动萎缩', '筋', '双手颤动'] 2 2 2
sample - ['小便黄赤多泡沫', '泌尿生殖', '小便黄赤'] 1 1 1
sample - ['偶有腹胀', '腹', '腹胀'] 1 1 1
sample - ['四肢厥冷', '皮', '四肢厥冷'] 2 2 2
sample - ['肌瘦盗汗', '肉', '肌瘦'] 2 2 1
sample - ['醒后难入眠', '神志', '难入眠'] 1 1 1
sample - ['腰部剧痛', '腰', '腰部剧痛'] 1 1 1
sample - ['咳逆', '呼吸', '咳逆'] 3 3 2
sample - ['鼻塞不通', '鼻', '鼻塞不通'] 3 3 3
sample - ['头痛且昏', '头', '头痛'] 1 1 1
sample - ['声息低微', '神志', '声息低微'] 1 1 1
sample - ['大便溏薄', '运化', '大便溏薄'] 14 14 14
sample - ['不能平卧大便不通情绪急躁焦虑无法入睡形体较瘦', '情绪', '情绪急躁'] 198 198 14
sample - ['头痛身痛', '头', '头痛'] 1 1 1
sample - ['烦恼', '情绪', '烦恼'] 1 1 1
sample - ['心怔烦闷', '情绪', '烦闷'] 2 2 1
sample - ['牙龈多处溃疡面腹胀', '腹', '腹胀'] 1 1 1
sample - ['稍有抽动', '筋', '抽动'] 1 1 1
sample - ['头昏目花', '头', '头昏'] 1 1 1
sample - ['胃部疼痛不适', '腹', '胃部疼痛'] 1 1 1
sample - ['腹痛不休', '腹', '腹痛'] 1 1 1
sample - ['伴右侧肢体麻木无力性情急躁', '情绪', '性情急躁'] 55 55 2
sample - ['脐腹虚冷', '腹', '脐腹冷'] 1 1 1
sample - ['身面肿满', '皮', '肿满'] 2 2 2
sample - ['右侧面部口角歪斜', '口', '口角歪斜'] 3 3 2
sample - ['双侧上肢麻木', '皮', '上肢麻木'] 9 9 9
sample - ['多则腹胀', '腹', '腹胀'] 1 1 1
sample - ['烦躁脉紧而弦', '脉', '脉紧'] 4 4 3
sample - ['患者体形胖', '肉', '体形胖'] 2 2 2
sample - ['体质消瘦', '肉', '体质消瘦'] 4 4 4
sample - ['背心发凉', '皮', '发凉'] 1 1 1
sample - ['但欲寐', '神志', '但欲寐'] 4 4 4
sample - ['排尿次数增多', '泌尿生殖', '排尿次数增多'] 1 1 1
sample - ['心悸气促', '呼吸', '气促'] 3 3 1
sample - ['经色淡黯有血块', '泌尿生殖', '经色淡黯'] 11 11 11
sample - ['便滞', '运化', '便滞'] 1 1 1
sample - ['爱生气', '情绪', '爱生气'] 3 3 1
sample - ['少腹作胀', '腹', '少腹作胀'] 8 8 8
sample - ['咽痒声嘶', '咽喉', '咽痒'] 2 2 1
sample - ['自幼遗尿', '泌尿生殖', '遗尿'] 1 1 1
sample - ['声低懒言', '神志', '声低'] 1 1 1
sample - ['尿多', '泌尿生殖', '尿多'] 1 1 1
sample - ['咳嗽有白痰', '呼吸', '咳嗽'] 1 1 1
sample - ['经量少血色黯淡', '泌尿生殖', '经量少'] 1 1 1
sample - ['双下肢小腿浮肿', '皮', '小腿浮肿'] 4 4 4
sample - ['胸膜转移咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['失眼盗汗', '皮', '盗汗'] 1 1 1
sample - ['汗下脉虚', '脉', '脉虚'] 2 2 1
sample - ['手颤不能握物', '筋', '手颤'] 1 1 1
sample - ['时有小便自遗', '泌尿生殖', '小便自遗'] 2 2 2
sample - ['感冒咳嗽', '呼吸', '咳嗽'] 1 1 1
sample - ['体格肥胖', '肉', '体格肥胖'] 4 4 4
sample - ['腹痛分泌物多', '腹', '腹痛'] 1 1 1
sample - ['乏力怕冷', '皮', '怕冷'] 1 1 1
sample - ['口干夜晚明显', '口', '口干'] 1 1 1
sample - ['绝经后阴道出血', '生殖器', '阴道出血'] 2 2 1
sample - ['时有大便稀溏', '运化', '大便稀溏'] 2 2 2
sample - ['头紧痛', '头', '头紧痛'] 3 3 2
sample - ['吞咽反射迟钝', '神志', '迟钝'] 1 1 1
sample - ['上肢痠困沉麻木', '皮', '麻木'] 1 1 1
sample - ['有时肩背部疼痛', '肉', '肩背部疼痛'] 1 1 1
sample - ['小便黄.', '泌尿生殖', '小便黄'] 1 1 1
sample - ['便溏肢倦', '运化', '便溏'] 1 1 1
sample - ['神乏体倦', '肉', '体倦'] 2 2 1
sample - ['呕吐后腹痛无减轻', '运化', '呕吐'] 2 2 2
sample - ['表面附有糠皮状鳞屑舌质红', '舌', '舌质红'] 29 29 5
sample - ['咽喉干痛与塞', '咽喉', '咽喉干'] 4 4 4
sample - ['右侧上腹部扪及质软包块', '皮', '包块'] 1 1 1
sample - ['行步艰辛及筋脉拳挛', '筋', '筋挛'] 23 23 1
sample - ['发渴烦热', '口', '发渴'] 1 1 1
sample - ['小便泡沫', '泌尿生殖', '小便泡沫'] 3 3 3
sample - ['咳而遗尿', '泌尿生殖', '遗尿'] 1 1 1
sample - ['咳少量痰', '呼吸', '咳'] 1 1 1
sample - ['感胸闷咽痒', '咽喉', '咽痒'] 2 2 1
sample - ['努挣乏力', '肉', '乏力'] 1 1 1
sample - ['鼻塞不闻臭香', '鼻', '鼻塞'] 1 1 1
sample - ['足胫肿重无力', '肉', '无力'] 1 1 1
sample - ['发热时足冷', '皮', '足冷'] 4 4 3
sample - ['白带量多色白', '泌尿生殖', '白带量多'] 1 1 1
sample - ['肚胀腹满', '腹', '腹满胀'] 1 1 1
sample - ['心烦吵啼', '情绪', '心烦'] 1 1 1
sample - ['小便频数色黄余沥不尽', '泌尿生殖', '小便频数'] 3 3 2
sample - ['颈肩痛麻木', '皮', '麻木'] 1 1 1
sample - ['心累心悸', '胸', '心悸'] 1 1 1
sample - ['偶有抽搐现象', '筋', '抽搐'] 1 1 1
sample - ['心悸时作', '胸', '心悸'] 1 1 1
sample - ['上腹部疼痛不适', '腹', '上腹部疼痛'] 1 1 1
sample - ['有时溏泻', '运化', '溏泻'] 1 1 1
sample - ['烦热不寐', '皮', '烦热'] 1 1 1
sample - ['阵发性头痛', '头', '头痛'] 1 1 1
sample - ['小腹冷隐痛', '腹', '小腹冷'] 13 13 13
sample - ['高热烦渴', '皮', '高热'] 2 2 2
sample - ['口干舌燥', '口', '口干'] 1 1 1
sample - ['情志不畅易吐血', '运化', '吐血'] 14 14 5
sample - ['头痛心烦', '情绪', '心烦'] 2 2 1
sample - ['活动后气喘', '呼吸', '气喘'] 7 7 1
sample - ['食欲欠佳', '运化', '食欲欠佳'] 2 2 2
sample - ['眼胞浮肿', '皮', '眼胞浮肿'] 1 1 1
sample - ['带下黄腻', '泌尿生殖', '带下黄'] 2 2 2
sample - ['眩晕耳鸣.', '耳', '耳鸣'] 2 2 1
sample - ['伴有头晕', '头', '头晕'] 1 1 1
sample - ['晨起即觉重度腰痛', '腰', '腰痛'] 1 1 1
sample - ['反复颜面及双下肢浮肿', '皮', '颜面及双下肢浮肿'] 6 6 6
sample - ['头部麻木', '皮', '头部麻木'] 3 3 3
sample - ['食后困倦', '肉', '困倦'] 1 1 1
sample - ['且感胸闷气短', '胸', '胸闷'] 2 2 1
sample - ['小儿骨热体瘦', '肉', '体瘦'] 1 1 1
sample - ['伴双下肢无力', '肉', '双下肢无力'] 1 1 1
sample - ['颈项疼痛连及后背', '肉', '颈项疼痛'] 8 8 8
sample - ['咳嗽轻微', '呼吸', '咳嗽'] 1 1 1
sample - ['植物神经病变治疗无显效求中医诊治刻下：口渴欲饮', '口', '口渴'] 1 1 1
sample - ['四肢酸软无力', '肉', '无力'] 5 5 5
sample - ['继而发热', '皮', '发热'] 1 1 1
sample - ['腹肿如鼓', '皮', '腹肿'] 2 2 1
sample - ['臀部疼痛', '肉', '臀部疼痛'] 1 1 1
sample - ['臂疼胁痛', '胁', '胁痛'] 3 3 1
sample - ['口干不喜饮', '口', '口干'] 1 1 1
sample - ['全身发黄', '皮', '全身发黄'] 2 2 2
sample - ['述头晕乏力', '肉', '乏力'] 2 2 1
sample - ['矢气好转', '运化', '矢气'] 1 1 1
sample - ['语言謇涩', '神志', '语言謇涩'] 3 3 3
sample - ['腰痠膝软', '肉', '膝软'] 1 1 1
sample - ['胸脘烦热感', '皮', '烦热'] 1 1 1
sample - ['体热多涎', '口', '多涎'] 2 2 1
sample - ['右胁肋痛', '胁', '右胁肋痛'] 4 4 3
sample - ['经期短', '泌尿生殖', '经期短'] 4 4 4
sample - ['劳累后疲惫', '肉', '疲惫'] 4 4 4
sample - ['阴道流血多', '生殖器', '阴道流血'] 1 1 1
sample - ['腹大肌瘦', '腹', '腹大'] 2 2 1
sample - ['夜梦纷坛', '神志', '夜梦纷坛'] 2 2 2
sample - ['溺黄', '泌尿生殖', '溺黄'] 1 1 1
sample - ['吐痰色白而粘', '运化', '吐痰'] 2 2 2
sample - ['稀溏便', '运化', '稀溏便'] 2 2 2
sample - ['咽痛轻微头痛', '咽喉', '咽痛'] 1 1 1
sample - ['头汗自出', '皮', '头汗'] 4 4 4
sample - ['倍感疲乏', '肉', '疲乏'] 1 1 1
sample - ['胀满大腹', '腹', '大腹胀满'] 1 1 1
sample - ['暗耗阴血所致的面色萎黄', '皮', '面色萎黄'] 1 1 1
sample - ['晨僵畏寒', '皮', '畏寒'] 1 1 1
sample - ['伴怕冷', '皮', '怕冷'] 1 1 1
sample - ['口淡时吐涎末', '运化', '吐涎'] 13 13 11
sample - ['吐痰色白', '运化', '吐痰'] 1 1 1
sample - ['口苦头昏', '头', '头昏'] 2 2 1
sample - ['倦卧肢凉', '皮', '肢凉'] 1 1 1
sample - ['右胁隐痛并放射至后背', '胁', '右胁隐痛'] 7 7 2
sample - ['头剧痛', '头', '头剧痛'] 2 2 2
sample - ['腰痛剧烈', '腰', '腰痛'] 1 1 1
sample - ['耳中憋气', '耳', '耳中憋气'] 3 3 1
sample - ['二便少', '运化', '便少'] 1 1 1
sample - ['双下肢针刺感头晕', '头', '头晕'] 1 1 1
sample - ['咳吐脓痰', '呼吸', '咳'] 1 1 1
sample - ['腰痠头晕', '头', '头晕'] 1 1 1
sample - ['腰冷', '腰', '腰冷'] 1 1 1
sample - ['腹痛腰痛', '腹', '腹痛'] 1 1 1
sample - ['小腹胀满饮食', '腹', '小腹胀满'] 3 3 3
sample - ['头晕欲寐', '头', '头晕'] 1 1 1
sample - ['右眼突出', '目', '右眼突出'] 3 3 3
sample - ['左眼结膜充血', '目', '左眼结膜充血'] 3 3 3
sample - ['咳则腿发抖', '呼吸', '咳'] 1 1 1
sample - ['舌稍红', '舌', '舌稍红'] 107 107 107
sample - ['皮肤红斑脱屑瘙痒', '皮', '瘙痒'] 62 62 59
sample - ['带黄有臭味', '泌尿生殖', '带黄'] 1 1 1
sample - ['胞睑浮肿', '骨', '浮肿'] 2 2 1
sample - ['痛如锥刺心烦健忘', '情绪', '心烦'] 2 2 1
sample - ['腹痛且凉', '腹', '腹痛'] 1 1 1
sample - ['纳少身疲', '运化', '纳少'] 1 1 1
sample - ['频咳', '呼吸', '咳'] 1 1 1
sample - ['身沉乏力', '肉', '乏力'] 1 1 1
sample - ['下腹胀坠痛', '腹', '下腹胀'] 9 9 9
sample - ['神差倦怠白带偏多', '泌尿生殖', '白带'] 56 56 2
sample - ['颊赤头痛', '皮', '颊赤'] 1 1 1
